ID,X,Y,Cover1857,Cover1930,Cover1987
24505182,439693.5457,656953.3441,Northern Hardwood,Ag-Grassland,Ag-Grassland
24505183,439695.9846,656154.3207,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24505184,440527.1116,656136.8243,Northern Hardwood,Northern Hardwood,Northern Hardwood
24505191,440521.8313,655349.196,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24505192,439693.9186,655360.4935,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24505193,439686.2995,654570.7311,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24505194,440509.0954,654563.3677,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24505202,441327.3813,655326.3186,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24505211,443719.188,655256.4974,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24505222,444517.3083,655249.4511,Hemlock-Yellow Birch,Ag-Grassland,Aspen-Paper Birch
24505302,439679.4015,653773.4695,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506011,438872.0757,660165.3857,Other or No Data,Other or No Data,Other or No Data
24506062,430021.9136,660406.9582,Lowland Forest,Marsh-Bog,Aspen-Paper Birch
24506063,430019.5876,659620.2312,Hemlock-Yellow Birch,Marsh-Bog,Aspen-Paper Birch
24506064,430858.1892,659558.0958,Lowland Forest,Marsh-Bog,Aspen-Paper Birch
24506071,430858.8371,658759.4691,Lowland Forest,Aspen-Paper Birch,Northern Hardwood
24506072,430016.1829,658819.7828,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506073,430010.5432,658020.939,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506074,430853.1912,657967.1294,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24506083,431659.5488,657932.2664,Lowland Forest,Aspen-Paper Birch,Aspen-Paper Birch
24506084,432466.5109,657913.6567,Lowland Forest,Aspen-Paper Birch,Aspen-Paper Birch
24506131,438878.8046,657001.1568,Lowland Forest,Marsh-Bog,Lowland Forest
24506132,438106.9934,657070.3812,Lowland Forest,Aspen-Paper Birch,Lowland Forest
24506133,438103.2018,656276.7201,Lowland Forest,Aspen-Paper Birch,Aspen-Paper Birch
24506134,438880.0567,656200.5864,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24506143,436588.1755,656392.7572,Lowland Forest,Ag-Grassland,Ag-Grassland
24506144,437338.4312,656341.2586,Lowland Forest,Aspen-Paper Birch,Boreal Conifer-Hardwood
24506153,435023.1497,656426.6853,Lowland Forest,Ag-Grassland,Upland Shrub-Herb
24506154,435818.1084,656419.6672,Lowland Forest,Ag-Grassland,Ag-Grassland
24506162,433311.0143,657114.6535,Lowland Forest,Aspen-Paper Birch,Boreal Conifer-Hardwood
24506163,433291.0179,656305.2078,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506164,434177.4444,656390.816,Northern Hardwood,Ag-Grassland,Upland Shrub-Herb
24506171,432457.6169,657100.7614,Lowland Forest,Aspen-Paper Birch,Aspen-Paper Birch
24506172,431649.9462,657130.3881,Lowland Forest,Aspen-Paper Birch,Aspen-Paper Birch
24506173,431636.6593,656321.9113,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506174,432446.6582,656281.2063,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506181,430843.8578,657169.9673,Lowland Forest,Aspen-Paper Birch,Northern Hardwood
24506182,430002.0142,657221.613,Hemlock-Yellow Birch,Aspen-Paper Birch,Boreal Conifer-Hardwood
24506183,429988.9484,656421.6188,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24506184,430829.4834,656368.0239,Hemlock-Yellow Birch,Aspen-Paper Birch,Boreal Conifer-Hardwood
24506201,432450.064,655484.4057,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506202,431634.8809,655527.1685,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24506211,434163.7347,655603.9276,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506212,433293.5278,655511.5177,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24506213,433309.7973,654733.2293,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24506214,434163.2319,654810.3726,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506221,435805.7214,655614.4702,Lowland Forest,Ag-Grassland,Upland Shrub-Herb
24506222,435000.7722,655638.9255,Lowland Forest,Ag-Grassland,Upland Shrub-Herb
24506223,434991.7398,654828.8223,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24506224,435796.7244,654796.6183,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24506231,437344.398,655527.2403,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24506232,436587.3721,655576.5778,Boreal Conifer-Hardwood,Aspen-Paper Birch,Upland Shrub-Herb
24506233,436586.5944,654751.5674,Boreal Conifer-Hardwood,Aspen-Paper Birch,Upland Shrub-Herb
24506234,437359.455,654697.3798,Hemlock-Yellow Birch,Aspen-Paper Birch,Boreal Conifer-Hardwood
24506241,438880.5526,655401.073,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24506242,438107.57,655470.5263,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24506243,438124.1685,654648.3061,Hemlock-Yellow Birch,Aspen-Paper Birch,Boreal Conifer-Hardwood
24506244,438884.3994,654599.1012,Hemlock-Yellow Birch,Aspen-Paper Birch,Northern Hardwood
24506251,438880.6588,653793.788,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24506252,438122.1586,653833.8063,Hemlock-Yellow Birch,Other or No Data,Upland Shrub-Herb
24506261,437349.7194,653880.6133,Hemlock-Yellow Birch,Other or No Data,Upland Shrub-Herb
24506262,436564.7093,653933.8923,Hemlock-Yellow Birch,Other or No Data,Upland Shrub-Herb
24506271,435769.4437,653979.295,Other or No Data,Other or No Data,Other or No Data
24507011,429185.6349,660438.954,Lowland Forest,Marsh-Bog,Boreal Conifer-Hardwood
24507012,428378.9453,660446.1613,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24507013,428383.3981,659653.9921,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
